MonthYear,MedianWaitweeks,Percentile92weeks,NoWithin18Weeks,NoWithin18WeeksWithEstimatesForMissingData,Within18WeeksPercentage,NoOver18Weeks,NoOver18WeeksWithEstimatesForMissingData,No52Weeks,No52WeeksWithEstimatesForMissingData,Over52WeekPercentage,No78Weeks,No78WeeksWithEstimatesForMissingData,No104Weeks,No104WeeksWithEstimatesForMissingData,TotalWaitingmil,TotalWaitingmilWithEstimatesForMissingData,MedianWaitweeks1,thPercentileweeks,NoWithin18Weeks1,No52Weeks1,NoOfPathwaysall,NoOfPathwaysallWithEstimatesForMissingData,MedianWaitweeks2,thPercentileweeks1,NoWithin18Weeks2,No52Weeks2,NoOfPathwaysall1,NoOfPathwaysallWithEstimatesForMissingData1,NoOfNewRTTPeriods,NoOfNewRTTPeriodsWithEstimatesForMissingData,VarName34,MedianWaitweeks3,thPercentileweeks2,NoWithin18Weeks3,No52Weeks3,NoOfPathwaysall2
01-Apr-2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4884615384615,NaN,94658,21169,246013,246013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-May-2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.6670720299345,NaN,114950,24605,277540,277540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jun-2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.3669906406587,NaN,121336,25240,285744,285744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jul-2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4464503749346,NaN,123853.000001,24672,297504.000001,297504.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Aug-2007,14.2877831850982,NaN,2395656,2395656,0.572168826460351,1791318,1791318,578682,578682,0.138210077253883,NaN,NaN,NaN,NaN,4186974,4186974,15.5888208269525,NaN,125334,22188,284512,284512,7.35188630743996,NaN,605162,68141,835346,780326.582608696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Sep-2007,13.3540095173972,NaN,2364349,2364349,0.591449364873644,1633202,1633202,401725,401725,0.100492776702536,NaN,NaN,NaN,NaN,3997551,3997551,15.3419892209701,NaN,128145,19441,279421,279421,7.52462974515376,NaN,607611,70059,845046,785270.347826087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Oct-2007,13.1541199777131,NaN,2337604,2337604,0.5933274633543,1602217,1602217,387161,387161,0.0982686776886564,NaN,NaN,NaN,NaN,3939821,3939821,14.5841194968553,NaN,159995,21086,319388,319388,6.71189042990198,NaN,668449,68015,910514,838915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Nov-2007,13.3265432001139,NaN,2269968,2269968,0.578783782198808,1651994,1651994,415215,415215,0.10586920526002,NaN,NaN,NaN,NaN,3921962,3921962,13.4388743455497,NaN,168956,18096,313200,313200,6.15560368375868,NaN,684129,68021,920948,852462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Dec-2007,14.2823578629168,NaN,2173205,2180207,0.563906974764884,1680631,1681130,434180,434188,0.112661773879324,NaN,NaN,NaN,NaN,3853836,3861337,11.3543042071197,NaN,151774,12831,246718,246718,5.51896444167187,NaN,568088,46800,740311,681164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2008,12.2786348514666,NaN,2151167,2151167,0.612791797716353,1359270,1359270,306034,306034,0.0871783199641526,NaN,NaN,NaN,NaN,3510437,3510437,12.1999222092571,NaN,194851,16013,300782,300782,5.91537294084169,51.6893609789259,729751,43893,908522,840036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Feb-2008,10.5218169914504,NaN,2024628,2024628,0.649737024774452,1091445,1091445,253955,253955,0.0814984116225775,NaN,NaN,NaN,NaN,3116073,3116073,10.7903065038624,42.8063725490196,215832,9884,298749,298749,4.48401651347996,39.7093298291721,707658,24688,832631,767258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Mar-2008,9.82739084132055,51.6306584757151,2017806,2017806,0.660123466079543,1038904,1038904,240689,240689,0.07874119559919,NaN,NaN,NaN,NaN,3056710,3056710,8.2,28.5817256637168,239803,3554,282040,282040,3.9466569671318,21.8226415094339,673800,7710,725954,666807,NaN,NaN,NaN,8.06953102862001,27.2619133574007,242581,3305,281029
01-Apr-2008,9.01720782433725,51.0907536907537,2041274,2041274,0.694247126964531,898996,898996,225860,225860,0.0768160747142269,NaN,NaN,NaN,NaN,2940270,2940270,8.56193148829108,29.9185490519374,256136,4646,306294,306294,4.19854676938313,22.7373134328358,776261,10295,842395,773909,NaN,NaN,NaN,8.33352341126529,28.0920373665481,261041,4085,305434
01-May-2008,8.09130675418495,47.422760834671,2103566,2103566,0.732452421682976,768383,768383,187394,187394,0.0652497659255091,NaN,NaN,NaN,NaN,2871949,2871949,8.41192639535772,29.1895136778115,240130,3954,278940,278940,4.10149260987942,21.7783941605839,702230,9230,756306,694046,NaN,NaN,NaN,8.18613029120384,27.6044351073763,243353,3577,278139
01-Jun-2008,7.4146462037268,41.3642554278416,2126177,2126177,0.775033390003995,617159,617159,149029,149029,0.0543240055173701,NaN,NaN,NaN,NaN,2743336,2743336,8.35375090561813,27.3587245696401,254235,3535,295120,295120,4.29116675674053,19.1963436123348,755802,7282,806273,740900,NaN,NaN,NaN,8.1105534189427,25.5768260869565,258225,3115,293957
01-Jul-2008,6.93003242144895,35.1601056072416,2142703,2151245,0.811124814698725,498941,499466,118801,118872,0.0449723732645277,NaN,NaN,NaN,NaN,2641644,2650711,8.20444549698897,24.9025820333512,273129,2961,313847,313847,4.17356487519162,17.9364074180563,801170,6213,846561,774962,NaN,NaN,NaN,7.90392243278978,23.2997454751131,278414,2414,313077
01-Aug-2008,7.27162983403697,37.3412547340688,2155168,2155168,0.805449873156206,520564,520564,140727,140727,0.0525938322672076,NaN,NaN,NaN,NaN,2675732,2675732,8.3111127830863,24.687285012285,231697,2316,265265,265265,4.29752716963301,17.6190729483283,677282,4464,713155,650895,NaN,NaN,NaN,8.01082267182386,22.9462042599672,235701,1768,263774
01-Sep-2008,6.79650947320652,35.8093636217175,2162608,2162608,0.821163195044333,470983,470983,144213,144213,0.0547590723084944,NaN,NaN,NaN,NaN,2633591,2633591,8.73374287265816,24.4278186968838,263845,2241,303487,303487,4.44233529543449,17.2775680421422,800264,4302,838888,770402,NaN,NaN,NaN,8.34918315845398,22.4063959143969,269930,1638,301666
01-Oct-2008,6.23098401039778,27.6788762037129,2104538,2104538,0.850371295830124,370308,370308,83601,83601,0.0337802837025011,NaN,NaN,NaN,NaN,2474846,2474846,8.55989889896822,24.2505722460658,279915,2335,322525,322525,4.09417282154815,16.7055935569285,835159,3018,880814,809215,NaN,NaN,NaN,8.19789681459298,22.2715077071291,285652,1822,319584
01-Nov-2008,6.26192252874764,26.594954271693,2082990,2082990,0.856225732275878,349768,349768,93080,93080,0.0382611011863901,NaN,NaN,NaN,NaN,2432758,2432758,8.43648458915558,23.8901039206424,259467,1389,295829,295829,4.17414805959405,16.5821205439177,776425,2524,807238,744978,NaN,NaN,NaN,8.1443390052356,21.9448712624585,267004,1000,296019
01-Dec-2008,6.93626175193368,27.1971792592593,1998655,1998655,0.852038937099379,347077,347077,79418,79418,0.0338563825705579,NaN,NaN,NaN,NaN,2345732,2345732,7.90247733276219,22.2923353909465,241372,1021,267405,267405,4.06040182426598,15.7416484567058,749536,1810,774454,709081,NaN,NaN,NaN,7.62859851144502,20.2799520766773,247734,752,267739
01-Jan-2009,6.73361747917245,27.0810091250671,1969144,1993805,0.854921080794771,334161,348634,82232,83640,0.0357017416277914,NaN,NaN,NaN,NaN,2303305,2342439,9.09991014653027,22.8781205505458,263102,872,294870,296415,4.61073691420743,15.8671326236195,811077,1554,834979,777276,NaN,NaN,NaN,8.59511692327514,20.0142352941176,273184,634,294762
01-Feb-2009,5.72421774961421,23.4515665010845,2013965,2038626,0.871724807191379,296357,310830,50678,52086,0.0219354704668873,NaN,NaN,NaN,NaN,2310322,2349456,9.08347151040097,22.4455336154208,252358,685,282089,283560.428571429,3.70397370499792,15.8142617255356,739427,1412,761434,706478.761904762,NaN,NaN,NaN,8.66583582585577,20.0647935779816,261111,449,282076
01-Mar-2009,5.56022679086818,23.3166006461582,2067346,2092007,0.875825953747014,293107,307580,47013,48421,0.0199169396721731,NaN,NaN,NaN,NaN,2360453,2399587,8.0122480620155,22.2448202054794,291740,832,323842,325460.571428571,3.78818348796684,15.7098408663941,873636,1715,899042,838591.238095238,NaN,NaN,NaN,7.7391870766024,19.987652987761,300703,565,323987
01-Apr-2009,5.72420138825519,21.2234849614716,2167437,2192098,0.89639594928919,250509,264982,31800,33208,0.0131516584737624,NaN,NaN,NaN,NaN,2417946,2457080,7.99237641053197,22.1721125370188,259088,615,287375,288846.428571429,4.16627357092909,14.8886073619632,824755,1564,847747,792791.761904762,NaN,NaN,NaN,7.69862610402355,19.8134850400337,267357,447,287439
